         170         -10          11       24.66       30.97
         171          -8           8       19.74       22.53
         172         -10          -1       24.66        -2.8
         173         -12           2       29.59        5.64
         174         -12         -10       29.59      -28.13
         175          -8         -10       19.74      -28.13
         176         -10         -13       24.66      -36.57
         177         -12          -4       29.59      -11.24
         178         -10          -7       24.66      -19.69
         179          -8          -4       19.74      -11.24
         180           2          21        -4.9       59.12
         181          -6          11       14.81       30.97
         182           0           8        0.03       22.53
         183          -2          11        4.95       30.97
         184          -4           8        9.88       22.53
         185          -2           5        4.95       14.09
         186         -10          21       24.66       59.12
         187          -4           2        9.88        5.64
         188          -4          -4        9.88      -11.24
         189           0          -4        0.03      -11.24
         190           0           0        0.03        0.01
         191          -6           5       14.81       14.09
         192          -6          -1       14.81        -2.8
         193          -2         -13        4.95      -36.57
         194          -6          -7       14.81      -19.69
         195           2          -3        -4.9       -8.43
         196           0         -10        0.03      -28.13
         197          -2          -7        4.95      -19.69
         198          -4         -10        9.88      -28.13
         199          -6         -13       14.81      -36.57
         200          10          11      -24.61       30.97
         201          26          21      -64.02       59.12
         202           2          11        -4.9       30.97
         203           6          11      -14.75       30.97
         204           4           8       -9.83       22.53
         205           0           2        0.03        5.64
         206           2           5        -4.9       14.09
         207           4           0       -9.83        0.01
         208           2           3        -4.9        8.46
         209           6          -1      -14.75        -2.8
         210           0          -2        0.03       -5.61
         211           2           1        -4.9        2.83
         212           2          -5        -4.9      -14.06
         213           4         -10       -9.83      -28.13
         214           6         -13      -14.75      -36.57
         215           4          -4       -9.83      -11.24
         216           2          -1        -4.9        -2.8
         217           2         -13        -4.9      -36.57
         218          28          12      -68.95       33.79
         219          12           8      -29.54       22.53
         220           6           5      -14.75       14.09
         221          14          11      -34.46       30.97
         222           8           8      -19.68       22.53
         223          16           8      -39.39       22.53
         224          10           5      -24.61       14.09
         225          12          -4      -29.54      -11.24
         226           4           2       -9.83        5.64
         227           8           2      -19.68        5.64
         228           8          -4      -19.68      -11.24
         229          12           2      -29.54        5.64
         230           4          -2       -9.83       -5.61
         231           8         -10      -19.68      -28.13
         232          10          -7      -24.61      -19.69
         233          10         -13      -24.61      -36.57
         234          28         -12      -68.95      -33.76
         235           6          -7      -14.75      -19.69
         236          14         -13      -34.46      -36.57
         237          14          -1      -34.46        -2.8
         238          16          -4      -39.39      -11.24
         239          14           5      -34.46       14.09
         240          16           2      -39.39        5.64
         241          14          -7      -34.46      -19.69
         242          16         -10      -39.39      -28.13
         243           2          -7        -4.9      -19.69
         244          28           0      -68.95        0.01
         245          12         -10      -29.54      -28.13
         246          10          -1      -24.61        -2.8
